iter	Accuracy	Logloss
462	0.87475	0.3079407043
463	0.874875	0.3079325256
464	0.874875	0.3079204712
465	0.87475	0.3079017029
466	0.874875	0.3078878784
467	0.874875	0.3077746887
468	0.874875	0.3077589111
469	0.874875	0.3077339783
470	0.874875	0.3077283936
471	0.87525	0.3076769409
472	0.875	0.3076112061
473	0.875	0.3075836487
474	0.875	0.30757901
475	0.874875	0.3075568848
476	0.874875	0.3074901733
477	0.874875	0.3074803772
478	0.874875	0.30747052
479	0.875	0.3074105835
480	0.875	0.307401123
481	0.875	0.3073119507
482	0.875	0.307306366
483	0.875	0.3072781372
484	0.875	0.3072221375
485	0.874875	0.3071582336
486	0.874875	0.3071557007
487	0.874875	0.3071220703
488	0.874875	0.3071132812
489	0.875	0.3070010681
490	0.875	0.3069712524
491	0.875125	0.3069202881
492	0.875375	0.3068596802
493	0.875375	0.3068320618
494	0.8755	0.306780304
495	0.875375	0.3067532349
496	0.875375	0.306748291
497	0.875375	0.306734375
498	0.875375	0.3067305298
499	0.875375	0.3067163696
500	0.875375	0.3066055298
501	0.875375	0.3065997925
502	0.87525	0.3065341187
503	0.875375	0.3065084534
504	0.875375	0.3064869385
505	0.875375	0.3064719543
506	0.8755	0.306416626
507	0.875375	0.306406189
508	0.875125	0.3063417053
509	0.87525	0.3063339539
510	0.87525	0.3062717896
511	0.87525	0.3062670288
512	0.875375	0.3062288818
513	0.875375	0.306214447
514	0.875375	0.3061355286
515	0.875375	0.3061309814
516	0.875375	0.3061250916
517	0.875375	0.3060002441
518	0.875375	0.3059146118
519	0.875375	0.3058602905
520	0.875375	0.3057894287
521	0.875375	0.3056930542
522	0.8755	0.3056080322
523	0.875375	0.305598114
524	0.8755	0.3055681152
525	0.87575	0.3055477295
526	0.875625	0.3055195923
527	0.87575	0.3054621277
528	0.875625	0.3054529724
529	0.875625	0.3053783569
530	0.875875	0.3051148071
531	0.875875	0.3051026917
532	0.876125	0.3050809021
533	0.876125	0.3050736694
534	0.876125	0.3050450745
535	0.876125	0.3050172119
536	0.876125	0.3049375305
